0x0,MACHINE_UNKNOWN
0x184,Alpha AXP 32-bit address space
0x284,Alpha 64 64-bit address space
0x1d3,Matsushita AM33
0x8664,x64
0x1c0,ARM little endian
0xaa64,ARM64 little endian
0xA641,ABI that enables interoperability between native ARM64 and emulated x64 code
0xA64E,Binary format that allows both native ARM64 and ARM64EC code to coexist in the same file
0x1c4,ARM Thumb-2 little endian
0x284,AXP 64 (Same as Alpha 64)
0xebc,EFI byte code
0x14c,Intel 386 or later processors and compatible processors
0x200,Intel Itanium processor family
0x6232,LoongArch 32-bit processor family
0x6264,LoongArch 64-bit processor family
0x9041,Mitsubishi M32R little endian
0x266,MIPS16
0x366,MIPS with FPU
0x466,MIPS16 with FPU
0x1f0,Power PC little endian
0x1f1,Power PC with floating point support
0x160,MIPS I compatible 32-bit big endian
0x162,MIPS I compatible 32-bit little endian
0x166,MIPS III compatible 64-bit little endian
0x168,MIPS IV compatible 64-bit little endian
0x5032,RISC-V 32-bit address space
0x5064,RISC-V 64-bit address space
0x5128,RISC-V 128-bit address space
0x1a2,Hitachi SH3
0x1a3,Hitachi SH3 DSP
0x1a6,Hitachi SH4
0x1a8,Hitachi SH5
0x1c2,Thumb
0x169,MIPS little-endian WCE v2
